 Flux (Janskies) at 10 Mpc and normalised flux for a model with the following parameters: 			
 Luminosity: 2.5e10 Lsun
 Mass-loss rate: 1.0e-2 Msun/yr
 Wind terminal velocity: 150.0 km/s
 Effective temperature (at optical depth 10): 33.5e3 K 
 Effective temperature (at optical depth 2/3): 14.8e3 K 
 Inner boundary: 32.0e13 cm 
 Abundances (mass fractions): H=7.064E-01,He=2.800E-01,C=5.583E-05,N=8.172E-03,O=1.319E-04,Fe=1.360E-03 
 	 Wavelength 	 Flux 	 	 Normalised Flux 
 	 (Angstrom) 	 (Jy (at 10 Mpc)) 	 
	11.0318166857	1.0092e-107	1.0
	11.0391792511	1.0092e-107	1.0
	11.0465468677	1.0092e-107	1.0
	11.0539195364	1.0092e-107	1.0
	11.0612970534	1.0092e-107	1.0
	11.0686794184	1.0092e-107	1.0
	11.0760667336	1.0092e-107	1.0
	11.0834588964	1.0092e-107	1.0
	11.0908561118	1.0092e-107	1.0
	11.098258072	1.0092e-107	1.0
	11.1056651878	1.0092e-107	1.0
	11.1130771508	1.0092e-107	1.0
	11.1204941672	1.0092e-107	1.0
	11.1279160306	1.0092e-107	1.0
	11.1353428441	1.0092e-107	1.0
	11.1427746078	1.0092e-107	1.0
	11.1502114252	1.0092e-107	1.0
	11.1576530891	1.0092e-107	1.0
	11.1650998068	1.0092e-107	1.0
	11.1725514748	1.0092e-107	1.0
	11.1800080927	1.0092e-107	1.0
	11.1874696607	1.0092e-107	1.0
	11.194936283	1.0092e-107	1.0
	11.2024079601	1.0092e-107	1.0
	11.2098844824	1.0092e-107	1.0
	11.2173659544	1.0092e-107	1.0
	11.2248525861	1.0092e-107	1.0
	11.2323441678	1.0092e-107	1.0
	11.2398405939	1.0092e-107	1.0
	11.2473420747	1.0092e-107	1.0
	11.2548486104	1.0092e-107	1.0
	11.2623604129	1.0092e-107	1.0
	11.2698768475	1.0092e-107	1.0
	11.277398443	1.0092e-107	1.0
	11.2849249877	1.0092e-107	1.0
	11.2924566939	1.0092e-107	1.0
	11.2999933492	1.0092e-107	1.0
	11.30753506	1.0092e-107	1.0
	11.3150817194	1.0092e-107	1.0
	11.322633541	1.0092e-107	1.0
	11.3301904183	1.0092e-107	1.0
	11.3377522441	1.0092e-107	1.0
	11.345319018	1.0092e-107	1.0
	11.3528909547	1.0092e-107	1.0
	11.3604680545	1.0092e-107	1.0
	11.3680501022	1.0092e-107	1.0
	11.3756370976	1.0092e-107	1.0
	11.3832293643	1.0092e-107	1.0
	11.3908265784	1.0092e-107	1.0
	11.3984289563	1.0092e-107	1.0
	11.4060361728	1.0092e-107	1.0
	11.4136487701	1.0092e-107	1.0
	11.4212663144	1.0092e-107	1.0
	11.428888914	1.0092e-107	1.0
	11.4365164597	1.0092e-107	1.0
	11.4441493879	1.0092e-107	1.0
	11.4517872621	1.0092e-107	1.0
	11.4594303009	1.0092e-107	1.0
	11.4670783948	1.0092e-107	1.0
	11.4747315437	1.0092e-107	1.0
	11.4823898573	1.0092e-107	1.0
	11.4900533359	1.0092e-107	1.0
	11.4977218693	1.0092e-107	1.0
	11.5053955677	1.0092e-107	1.0
	11.513074321	1.0092e-107	1.0
	11.5207582392	1.0092e-107	1.0
	11.5284472119	1.0092e-107	1.0
	11.5361414605	1.0092e-107	1.0
	11.5438407636	1.0092e-107	1.0
	11.5515450095	1.0092e-107	1.0
	11.559254643	1.0092e-107	1.0
	11.5669694421	1.0092e-107	1.0
	11.5746891833	1.0092e-107	1.0
	11.5824142015	1.0092e-107	1.0
	11.590144385	1.0092e-107	1.0
	11.5978798462	1.0092e-107	1.0
	11.6056203607	1.0092e-107	1.0
