 Flux (Janskies) at 10 Mpc and normalised flux for a model with the following parameters: 
 Luminosity: 5.2e9 Lsun
 Mass-loss rate: 3.0e-3 Msun/yr
 Wind terminal velocity: 150.0 km/s
 Effective temperature (at optical depth 10): 31.9e3 K 
 Effective temperature (at optical depth 2/3): 18.2e3 K 
 Inner boundary: 16.0e13 cm 
 Abundances (mass fractions): H=7.010E-01,He=2.800E-01,C=3.026E-03,N=1.182E-03,O=9.634E-03,Fe=1.360E-03 
 	 Wavelength 	 Flux 	 	 Normalised Flux 
 	 (Angstrom) 	 (Jy (at 10 Mpc)) 	 
       10.0120729149        1.040400000e-107             1.000000000
	11.026297807	1.0404e-107	1.0
	11.033656863	1.0404e-107	1.0
	11.0410206657	1.0404e-107	1.0
	11.0483896217	1.0404e-107	1.0
	11.0557634261	1.0404e-107	1.0
	11.0631421806	1.0404e-107	1.0
	11.0705257832	1.0404e-107	1.0
	11.0779143359	1.0404e-107	1.0
	11.0853077362	1.0404e-107	1.0
	11.0927060865	1.0404e-107	1.0
	11.1001093869	1.0404e-107	1.0
	11.1075177401	1.0404e-107	1.0
	11.1149309408	1.0404e-107	1.0
	11.1223491948	1.0404e-107	1.0
	11.1297722957	1.0404e-107	1.0
	11.1372002434	1.0404e-107	1.0
	11.144633348	1.0404e-107	1.0
	11.152071403	1.0404e-107	1.0
	11.1595143045	1.0404e-107	1.0
	11.1669622597	1.0404e-107	1.0
	11.1744151652	1.0404e-107	1.0
	11.1818730207	1.0404e-107	1.0
	11.1893358261	1.0404e-107	1.0
	11.1968036859	1.0404e-107	1.0
	11.2042767051	1.0404e-107	1.0
	11.2117543601	1.0404e-107	1.0
	11.2192371745	1.0404e-107	1.0
	11.2267249387	1.0404e-107	1.0
	11.2342178629	1.0404e-107	1.0
	11.2417155264	1.0404e-107	1.0
	11.2492182447	1.0404e-107	1.0
	11.2567260178	1.0404e-107	1.0
	11.2642390575	1.0404e-107	1.0
	11.2717568354	1.0404e-107	1.0
	11.2792795622	1.0404e-107	1.0
	11.2868074502	1.0404e-107	1.0
	11.2943403937	1.0404e-107	1.0
	11.3018782863	1.0404e-107	1.0
	11.3094212342	1.0404e-107	1.0
	11.3169692375	1.0404e-107	1.0
	11.3245222964	1.0404e-107	1.0
	11.3320804109	1.0404e-107	1.0
	11.3396434737	1.0404e-107	1.0
	11.3472114846	1.0404e-107	1.0
	11.3547847657	1.0404e-107	1.0
	11.3623631026	1.0404e-107	1.0
	11.3699463872	1.0404e-107	1.0
	11.3775346194	1.0404e-107	1.0
	11.385128231	1.0404e-107	1.0
	11.392726682	1.0404e-107	1.0
	11.4003302966	1.0404e-107	1.0
	11.4079388583	1.0404e-107	1.0
	11.4155526924	1.0404e-107	1.0
	11.4231714733	1.0404e-107	1.0
	11.4307953095	1.0404e-107	1.0
	11.4384242007	1.0404e-107	1.0
	11.4460583654	1.0404e-107	1.0
	11.4536975854	1.0404e-107	1.0
	11.4613418608	1.0404e-107	1.0
	11.468991191	1.0404e-107	1.0
	11.476645686	1.0404e-107	1.0
	11.4843052359	1.0404e-107	1.0
	11.4919699507	1.0404e-107	1.0
	11.4996398304	1.0404e-107	1.0
	11.5073147649	1.0404e-107	1.0
	11.514994754	1.0404e-107	1.0
	11.5226800188	1.0404e-107	1.0
	11.5303703383	1.0404e-107	1.0
	11.5380658229	1.0404e-107	1.0
	11.5457663617	1.0404e-107	1.0
	11.5534719545	1.0404e-107	1.0
	11.5611828237	1.0404e-107	1.0
	11.5688988583	1.0404e-107	1.0
	11.5766199466	1.0404e-107	1.0
	11.5843463121	1.0404e-107	1.0
	11.592077731	1.0404e-107	1.0
	11.5998145396	1.0404e-107	1.0
	11.6075562894	1.0404e-107	1.0
	11.6153032045	1.0404e-107	1.0
	11.6230553975	1.0404e-107	1.0
	11.6308126434	1.0404e-107	1.0
	11.6385751673	1.0404e-107	1.0
	11.6463428568	1.0404e-107	1.0
	11.6541157116	1.0404e-107	1.0
	11.6618935049	1.0404e-107	1.0
	11.6696769172	1.0404e-107	1.0
	11.6774652677	1.0404e-107	1.0
	11.6852587831	1.0404e-107	1.0
	11.6930576914	1.0404e-107	1.0
	11.7008617651	1.0404e-107	1.0
	11.7086710039	1.0404e-107	1.0
	11.7164855221	1.0404e-107	1.0
	11.7243050907	1.0404e-107	1.0
	11.7321300534	1.0404e-107	1.0
	11.7399600662	1.0404e-107	1.0
	11.7477953584	1.0404e-107	1.0
	11.7556359303	1.0404e-107	1.0
	11.7634817822	1.0404e-107	1.0
	11.7713327985	1.0404e-107	1.0
	11.7791888633	1.0404e-107	1.0
	11.7870505551	1.0404e-107	1.0
	11.7949172955	1.0404e-107	1.0
	11.8027893159	1.0404e-107	1.0
	11.8106663838	1.0404e-107	1.0
	11.8185489643	1.0404e-107	1.0
	11.8264367085	1.0404e-107	1.0
	11.8343299663	1.0404e-107	1.0
	11.842228154	1.0404e-107	1.0
	11.8501316217	1.0404e-107	1.0
	11.8580404865	1.0404e-107	1.0
	11.8659547489	1.0404e-107	1.0
	11.8738741744	1.0404e-107	1.0
	11.88179888	1.0404e-107	1.0
	11.889728748	1.0404e-107	1.0
	11.8976641318	1.0404e-107	1.0
	11.9056045596	1.0404e-107	1.0
	11.9135505039	1.0404e-107	1.0
	11.9215017284	1.0404e-107	1.0
	11.929458233	1.0404e-107	1.0
	11.9374200178	1.0404e-107	1.0
	11.9453870824	1.0404e-107	1.0
	11.9533595459	1.0404e-107	1.0
	11.9613372893	1.0404e-107	1.0
	11.9693205515	1.0404e-107	1.0
	11.9773088545	1.0404e-107	1.0
	11.9853025568	1.0404e-107	1.0
	11.9933015385	1.0404e-107	1.0
	12.0013059196	1.0404e-107	1.0
	12.0093157002	1.0404e-107	1.0
	12.0173310011	1.0404e-107	1.0
	12.02535122	1.0404e-107	1.0
	12.0333770796	1.0404e-107	1.0
	12.0414080975	1.0404e-107	1.0
	12.0494447571	1.0404e-107	1.0
	12.0574865746	1.0404e-107	1.0
	12.0655337921	1.0404e-107	1.0
	12.0735864095	1.0404e-107	1.0
	12.0816444271	1.0404e-107	1.0
	12.0897078448	1.0404e-107	1.0
	12.0977767849	1.0404e-107	1.0
	12.1058506369	1.0404e-107	1.0
	12.1139302555	1.0404e-107	1.0
	12.1220151519	1.0404e-107	1.0
	12.1301054485	1.0404e-107	1.0
	12.1382011452	1.0404e-107	1.0
	12.1463023652	1.0404e-107	1.0
	12.1544088624	1.0404e-107	1.0
	12.1625207598	1.0404e-107	1.0
	12.1706381807	1.0404e-107	1.0
	12.1787607545	1.0404e-107	1.0
	12.1868890996	1.0404e-107	1.0
	12.1950225971	1.0404e-107	1.0
	12.2031616185	1.0404e-107	1.0
	12.2113061642	1.0404e-107	1.0
