 Flux (Janskies) at 10 Mpc and normalised flux for a model with the following parameters: 			
 Luminosity: 1.9e8 Lsun
 Mass-loss rate: 6.75e-3 Msun/yr
 Wind terminal velocity: 150.0 km/s
 Effective temperature (at optical depth 10): 14.0e3 K 
 Effective temperature (at optical depth 2/3): 5.6e3 K 
 Inner boundary: 16.0e13 cm 
 Abundances (mass fractions): H=7.010E-01,He=2.800E-01,C=3.026E-03,N=1.182E-03,O=9.634E-03,Fe=1.360E-03 
 	 Wavelength 	 Flux 	 	 Normalised Flux 
 	 (Angstrom) 	 (Jy (at 10 Mpc)) 	 
	11.0321279572	1.0295e-107	1.0
	11.0394908365	1.0295e-107	1.0
	11.0468586659	1.0295e-107	1.0
	11.0542314451	1.0295e-107	1.0
	11.0616090725	1.0295e-107	1.0
	11.0689916499	1.0295e-107	1.0
	11.0763791772	1.0295e-107	1.0
	11.0837716549	1.0295e-107	1.0
	11.0911690827	1.0295e-107	1.0
	11.0985713581	1.0295e-107	1.0
	11.1059785836	1.0295e-107	1.0
	11.1133908621	1.0295e-107	1.0
	11.1208078848	1.0295e-107	1.0
	11.1282299606	1.0295e-107	1.0
	11.13565709	1.0295e-107	1.0
	11.1430890661	1.0295e-107	1.0
	11.150526096	1.0295e-107	1.0
	11.1579679724	1.0295e-107	1.0
	11.1654149027	1.0295e-107	1.0
	11.1728667832	1.0295e-107	1.0
	11.1803236137	1.0295e-107	1.0
	11.1877853942	1.0295e-107	1.0
	11.1952522292	1.0295e-107	1.0
	11.2027241187	1.0295e-107	1.0
	11.2102008535	1.0295e-107	1.0
	11.2176824333	1.0295e-107	1.0
	11.2251692775	1.0295e-107	1.0
	11.2326611768	1.0295e-107	1.0
	11.2401578154	1.0295e-107	1.0
	11.2476595088	1.0295e-107	1.0
	11.2551663627	1.0295e-107	1.0
	11.2626781663	1.0295e-107	1.0
	11.2701949193	1.0295e-107	1.0
	11.2777167275	1.0295e-107	1.0
	11.2852435909	1.0295e-107	1.0
	11.2927752972	1.0295e-107	1.0
	11.3003121649	1.0295e-107	1.0
	11.3078540881	1.0295e-107	1.0
	11.3154010668	1.0295e-107	1.0
	11.3229529941	1.0295e-107	1.0
	11.3305099768	1.0295e-107	1.0
	11.3380721221	1.0295e-107	1.0
	11.3456393231	1.0295e-107	1.0
	11.353211365	1.0295e-107	1.0
	11.3607885697	1.0295e-107	1.0
	11.3683708299	1.0295e-107	1.0
	11.3759582535	1.0295e-107	1.0
	11.3835506248	1.0295e-107	1.0
	11.3911479433	1.0295e-107	1.0
	11.3987505337	1.0295e-107	1.0
	11.4063581795	1.0295e-107	1.0
	11.4139707723	1.0295e-107	1.0
	11.421588529	1.0295e-107	1.0
	11.429211341	1.0295e-107	1.0
	11.4368392081	1.0295e-107	1.0
	11.4444724579	1.0295e-107	1.0
	11.4521103261	1.0295e-107	1.0
	11.4597536868	1.0295e-107	1.0
	11.4674019932	1.0295e-107	1.0
	11.4750554644	1.0295e-107	1.0
	11.4827139906	1.0295e-107	1.0
	11.4903775717	1.0295e-107	1.0
	11.4980464278	1.0295e-107	1.0
	11.5057201181	1.0295e-107	1.0
	11.513399194	1.0295e-107	1.0
	11.5210833247	1.0295e-107	1.0
	11.5287723989	1.0295e-107	1.0
	11.5364668599	1.0295e-107	1.0
	11.5441663751	1.0295e-107	1.0
	11.5518709445	1.0295e-107	1.0
	11.5595809019	1.0295e-107	1.0
	11.5672958019	1.0295e-107	1.0
	11.5750157554	1.0295e-107	1.0
	11.5827410977	1.0295e-107	1.0
	11.5904714937	1.0295e-107	1.0
	11.5982071673	1.0295e-107	1.0
	11.6059477819	1.0295e-107	1.0
	11.6136936742	1.0295e-107	1.0
	11.6214447319	1.0295e-107	1.0
	11.6292008421	1.0295e-107	1.0
	11.6369624563	1.0295e-107	1.0
	11.6447290102	1.0295e-107	1.0
	11.6525008426	1.0295e-107	1.0
	11.6602777271	1.0295e-107	1.0
	11.6680597765	1.0295e-107	1.0
	11.6758472185	1.0295e-107	1.0
	11.6836395981	1.0295e-107	1.0
	11.6914373704	1.0295e-107	1.0
	11.6992403079	1.0295e-107	1.0
	11.7070484104	1.0295e-107	1.0
	11.7148617921	1.0295e-107	1.0
	11.7226803388	1.0295e-107	1.0
	11.7305042798	1.0295e-107	1.0
	11.7383333857	1.0295e-107	1.0
	11.7461674265	1.0295e-107	1.0
	11.754006977	1.0295e-107	1.0
	11.7618518075	1.0295e-107	1.0
	11.7697015716	1.0295e-107	1.0
	11.7775568467	1.0295e-107	1.0
	11.7854171703	1.0295e-107	1.0
	11.7932828895	1.0295e-107	1.0
	11.801153773	1.0295e-107	1.0
	11.8090298201	1.0295e-107	1.0
	11.8169112635	1.0295e-107	1.0
	11.8247981038	1.0295e-107	1.0
	11.8326901078	1.0295e-107	1.0
	11.8405871584	1.0295e-107	1.0
	11.8484896057	1.0295e-107	1.0
	11.8563974505	1.0295e-107	1.0
	11.8643105755	1.0295e-107	1.0
	11.8722288635	1.0295e-107	1.0
	11.8801524316	1.0295e-107	1.0
	11.8880813978	1.0295e-107	1.0
	11.8960155262	1.0295e-107	1.0
	11.9039550527	1.0295e-107	1.0
	11.9118996229	1.0295e-107	1.0
	11.9198499466	1.0295e-107	1.0
	11.9278051949	1.0295e-107	1.0
	11.9357658418	1.0295e-107	1.0
	11.9437317685	1.0295e-107	1.0
	11.951703213	1.0295e-107	1.0
	11.9596798185	1.0295e-107	1.0
	11.9676617036	1.0295e-107	1.0
	11.9756491075	1.0295e-107	1.0
	11.9836417912	1.0295e-107	1.0
	11.9916397547	1.0295e-107	1.0
	11.9996428777	1.0295e-107	1.0
	12.0076517604	1.0295e-107	1.0
	12.0156656824	1.0295e-107	1.0
	12.023685004	1.0295e-107	1.0
	12.0317096047	1.0295e-107	1.0
	12.0397396051	1.0295e-107	1.0
	12.0477750052	1.0295e-107	1.0
	12.0558159267	1.0295e-107	1.0
	12.0638621271	1.0295e-107	1.0
	12.0719133633	1.0295e-107	1.0
	12.0799703639	1.0295e-107	1.0
	12.0880325214	1.0295e-107	1.0
	12.0961002007	1.0295e-107	1.0
	12.1041732803	1.0295e-107	1.0
	12.112251638	1.0295e-107	1.0
	12.1203353958	1.0295e-107	1.0
	12.1284246763	1.0295e-107	1.0
	12.1365191116	1.0295e-107	1.0
	12.1446193156	1.0295e-107	1.0
	12.1527246742	1.0295e-107	1.0
	12.1608355561	1.0295e-107	1.0
	12.1689515914	1.0295e-107	1.0
	12.1770733973	1.0295e-107	1.0
	12.1852003561	1.0295e-107	1.0
	12.1933328387	1.0295e-107	1.0
	12.2014707213	1.0295e-107	1.0
	12.2096140039	1.0295e-107	1.0
	12.2177629351	1.0295e-107	1.0
	12.2259170174	1.0295e-107	1.0
	12.2340767488	1.0295e-107	1.0
	12.2422417551	1.0295e-107	1.0
	12.2504124112	1.0295e-107	1.0
	12.2585883418	1.0295e-107	1.0
	12.2667699228	1.0295e-107	1.0
	12.2749567779	1.0295e-107	1.0
	12.283149158	1.0295e-107	1.0
	12.2913470633	1.0295e-107	1.0
	12.2995502419	1.0295e-107	1.0
	12.3077589453	1.0295e-107	1.0
	12.315973427	1.0295e-107	1.0
	12.3241930547	1.0295e-107	1.0
	12.3324183345	1.0295e-107	1.0
	12.3406491399	1.0295e-107	1.0
	12.3488852169	1.0295e-107	1.0
	12.3571270738	1.0295e-107	1.0
	12.3653743292	1.0295e-107	1.0
	12.3736269828	1.0295e-107	1.0
	12.3818852897	1.0295e-107	1.0
	12.3901491227	1.0295e-107	1.0
	12.3984182252	1.0295e-107	1.0
	12.4066929815	1.0295e-107	1.0
	12.4149735205	1.0295e-107	1.0
	12.4232591999	1.0295e-107	1.0
	12.4315505335	1.0295e-107	1.0
	12.4398473928	1.0295e-107	1.0
	12.4481497777	1.0295e-107	1.0
	12.4564578176	1.0295e-107	1.0
	12.4647713834	1.0295e-107	1.0
	12.473090475	1.0295e-107	1.0
	12.4814152221	1.0295e-107	1.0
	12.489745235	1.0295e-107	1.0
	12.4980810336	1.0295e-107	1.0
	12.5064222274	1.0295e-107	1.0
	12.5147692075	1.0295e-107	1.0
	12.5231217133	1.0295e-107	1.0
	12.5314796135	1.0295e-107	1.0
	12.5398431699	1.0295e-107	1.0
	12.5482122513	1.0295e-107	1.0
	12.5565871205	1.0295e-107	1.0
	12.5649675149	1.0295e-107	1.0
	12.5733534344	1.0295e-107	1.0
	12.5817450106	1.0295e-107	1.0
	12.5901421115	1.0295e-107	1.0
	12.598544737	1.0295e-107	1.0
	12.6069531516	1.0295e-107	1.0
	12.6153672236	1.0295e-107	1.0
	12.623786687	1.0295e-107	1.0
	12.6322119405	1.0295e-107	1.0
	12.6406427179	1.0295e-107	1.0
	12.6490792859	1.0295e-107	1.0
	12.6575212444	1.0295e-107	1.0
	12.6659691273	1.0295e-107	1.0
	12.6744222662	1.0295e-107	1.0
	12.682881196	1.0295e-107	1.0
	12.6913459173	1.0295e-107	1.0
	12.6998161616	1.0295e-107	1.0
	12.7082923325	1.0295e-107	1.0
	12.7167737569	1.0295e-107	1.0
	12.7252611082	1.0295e-107	1.0
	12.733753982	1.0295e-107	1.0
	12.7422526482	1.0295e-107	1.0
	12.7507567008	1.0295e-107	1.0
	12.7592666817	1.0295e-107	1.0
	12.7677824558	1.0295e-107	1.0
	12.7763037515	1.0295e-107	1.0
	12.7848307044	1.0295e-107	1.0
	12.7933633141	1.0295e-107	1.0
	12.8019017175	1.0295e-107	1.0
	12.810445778	1.0295e-107	1.0
	12.8189956323	1.0295e-107	1.0
	12.8275508694	1.0295e-107	1.0
	12.8361123122	1.0295e-107	1.0
	12.8446792748	1.0295e-107	1.0
	12.8532518941	1.0295e-107	1.0
	12.8618300321	1.0295e-107	1.0
	12.8704142403	1.0295e-107	1.0
	12.8790039671	1.0295e-107	1.0
	12.8875993498	1.0295e-107	1.0
	12.8962006656	1.0295e-107	1.0
	12.9048077765	1.0295e-107	1.0
	12.9134206827	1.0295e-107	1.0
	12.9220389665	1.0295e-107	1.0
	12.9306633236	1.0295e-107	1.0
	12.9392933366	1.0295e-107	1.0
	12.9479290049	1.0295e-107	1.0
	12.9565704681	1.0295e-107	1.0
	12.9652178667	1.0295e-107	1.0
	12.97387078	1.0295e-107	1.0
	12.9825297693	1.0295e-107	1.0
	12.9911944136	1.0295e-107	1.0
	12.9998648532	1.0295e-107	1.0
	13.0085410882	1.0295e-107	1.0
	13.0172231187	1.0295e-107	1.0
	13.0259106617	1.0295e-107	1.0
	13.0346044245	1.0295e-107	1.0
	13.0433038412	1.0295e-107	1.0
	13.0520089113	1.0295e-107	1.0
	13.0607199185	1.0295e-107	1.0
	13.0694367211	1.0295e-107	1.0
	13.0781593189	1.0295e-107	1.0
	13.0868878546	1.0295e-107	1.0
	13.0956221856	1.0295e-107	1.0
	13.1043620255	1.0295e-107	1.0
	13.11310809	1.0295e-107	1.0
	13.1218598062	1.0295e-107	1.0
	13.1306176047	1.0295e-107	1.0
	13.1393809106	1.0295e-107	1.0
	13.1481502992	1.0295e-107	1.0
	13.1569254828	1.0295e-107	1.0
	13.1657064609	1.0295e-107	1.0
	13.1744933783	1.0295e-107	1.0
	13.183286235	1.0295e-107	1.0
	13.1920847413	1.0295e-107	1.0
	13.2008891869	1.0295e-107	1.0
	13.209699572	1.0295e-107	1.0
	13.2185157511	1.0295e-107	1.0
	13.227337724	1.0295e-107	1.0
	13.2361659284	1.0295e-107	1.0
	13.244999927	1.0295e-107	1.0
	13.2538395728	1.0295e-107	1.0
