"Obj. ID","IAU name","Internal name/s","Obj. RA","Obj. DEC","Obj. Type","Redshift","Spec. ID","Obs-date","JD","Phase (days)","From","Telescope","Instrument","Observer/s","Reducer/s","Source group","Public","Associated groups","End prop. period","Ascii file","Fits file","Spec. type","Spec. quality","Extinction-Corrected","WL Medium","WL Units","Flux Unit Coefficient","Spec. units","Flux Calibrated By","Exp-time","Aperture (slit)","HA","Airmass","Dichroic","Grism","Grating","Blaze","Lambda-min","Lambda-max","Del-Lambda","Contrib","Publish","Remarks","Created by","Creation date"
"14764","","Computed-IIn","0","0","Computed-IIn","","57066","2019-07-01 00:00:00.00","2458665.5","","Peak-light","Other","Other","Computed","","Groh_Boian","Y","Groh_Boian","","L1.9e8_Mdot3e-3_Vinf150_R32e13_he.dat","","Synthetic","High","","Air","Angstrom","1","erg cm(-2) sec(-1) Ang(-1)","","","","","","","","","","10.01486101335","24999.991399778","0.40461734624469","Boian et al. 2020","2020arXiv200107651B",""," Ioana Boian","2020-05-27 23:43:50"
"14764","","Computed-IIn","0","0","Computed-IIn","","57067","2019-07-01 00:00:00.00","2458665.5","","Peak-light","Other","Other","Computed","","Groh_Boian","Y","Groh_Boian","","L1.9e8_Mdot3e-3_Vinf150_R32e13_sol.dat","","Synthetic","High","","Air","Angstrom","1","erg cm(-2) sec(-1) Ang(-1)","","","","","","","","","","10.0148610134","24999.2174475","0.40908901672238","Boian et al. 2020","2020arXiv200107651B",""," Ioana Boian","2020-05-27 23:43:50"
"14764","","Computed-IIn","0","0","Computed-IIn","","57068","2019-07-01 00:00:00.00","2458665.5","","Peak-light","Other","Other","Computed","","Groh_Boian","Y","Groh_Boian","","L1e10_Mdot3e-3_Vinf150_R32e13_cno.dat","","Synthetic","High","","Air","Angstrom","1","erg cm(-2) sec(-1) Ang(-1)","","","","","","","","","","10.0145783212","24999.6114742","0.41504753269243","Boian et al. 2020","2020arXiv200107651B",""," Ioana Boian","2020-05-27 23:43:50"
"14764","","Computed-IIn","0","0","Computed-IIn","","57069","2019-07-01 00:00:00.00","2458665.5","","Peak-light","Other","Other","Computed","","Groh_Boian","Y","Groh_Boian","","L1e10_Mdot5e-3_Vinf150_R32e13_sol.dat","","Synthetic","High","","Air","Angstrom","1","erg cm(-2) sec(-1) Ang(-1)","","","","","","","","","","10.0145783212","25001.1563404","0.41361681802815","Boian et al. 2020","2020arXiv200107651B",""," Ioana Boian","2020-05-27 23:43:50"
"14764","","Computed-IIn","0","0","Computed-IIn","","57070","2019-07-01 00:00:00.00","2458665.5","","Peak-light","Other","Other","Computed","","Groh_Boian","Y","Groh_Boian","","L2.5e10_Mdot1e-2_Vinf150_R32e13_cno.dat","","Synthetic","High","","Air","Angstrom","1","erg cm(-2) sec(-1) Ang(-1)","","","","","","","","","","10.0145783212","24998.7802231","0.41522682648641","Boian et al. 2020","2020arXiv200107651B",""," Ioana Boian","2020-05-27 23:43:50"
"14764","","Computed-IIn","0","0","Computed-IIn","","57071","2019-07-01 00:00:00.00","2458665.5","","Peak-light","Other","Other","Computed","","Groh_Boian","Y","Groh_Boian","","L2.5e10_Mdot1e-2_Vinf150_R32e13_he.dat","","Synthetic","High","","Air","Angstrom","1","erg cm(-2) sec(-1) Ang(-1)","","","","","","","","","","10.01457832125","24998.441484168","0.41493161924592","Boian et al. 2020","2020arXiv200107651B",""," Ioana Boian","2020-05-27 23:43:50"
"14764","","Computed-IIn","0","0","Computed-IIn","","57072","2019-07-01 00:00:00.00","2458665.5","","Peak-light","Other","Other","Computed","","Groh_Boian","Y","Groh_Boian","","L2.5e10_Mdot1e-2_Vinf150_R32e13_sol.dat","","Synthetic","High","","Air","Angstrom","1","erg cm(-2) sec(-1) Ang(-1)","","","","","","","","","","10.0145783212","24998.3268361","0.41446173156489","Boian et al. 2020","2020arXiv200107651B",""," Ioana Boian","2020-05-27 23:43:50"
"14764","","Computed-IIn","0","0","Computed-IIn","","57073","2019-07-01 00:00:00.00","2458665.5","","Peak-light","Other","Other","Computed","","Groh_Boian","Y","Groh_Boian","","L2.5e10_Mdot1e-3_Vinf150_R32e13_cno.dat","","Synthetic","High","","Air","Angstrom","1","erg cm(-2) sec(-1) Ang(-1)","","","","","","","","","","10.0145783212","24999.8178623","0.415175080726","Boian et al. 2020","2020arXiv200107651B",""," Ioana Boian","2020-05-27 23:43:50"
"14764","","Computed-IIn","0","0","Computed-IIn","","57074","2019-07-01 00:00:00.00","2458665.5","","Peak-light","Other","Other","Computed","","Groh_Boian","Y","Groh_Boian","","L2.5e10_Mdot1e-3_Vinf150_R32e13_he.dat","","Synthetic","High","","Air","Angstrom","1","erg cm(-2) sec(-1) Ang(-1)","","","","","","","","","","10.01457832125","24999.242485803","0.41499315642821","Boian et al. 2020","2020arXiv200107651B",""," Ioana Boian","2020-05-27 23:43:50"
"14764","","Computed-IIn","0","0","Computed-IIn","","57075","2019-07-01 00:00:00.00","2458665.5","","Peak-light","Other","Other","Computed","","Groh_Boian","Y","Groh_Boian","","L2.5e10_Mdot1e-3_Vinf150_R32e13_sol.dat","","Synthetic","High","","Air","Angstrom","1","erg cm(-2) sec(-1) Ang(-1)","","","","","","","","","","10.0145783212","25000.991629","0.41536710186283","Boian et al. 2020","2020arXiv200107651B",""," Ioana Boian","2020-05-27 23:43:50"
"14764","","Computed-IIn","0","0","Computed-IIn","","57076","2019-07-01 00:00:00.00","2458665.5","","Peak-light","Other","Other","Computed","","Groh_Boian","Y","Groh_Boian","","L2.5e10_Mdot3e-3_Vinf150_R32e13_cno.dat","","Synthetic","High","","Air","Angstrom","1","erg cm(-2) sec(-1) Ang(-1)","","","","","","","","","","10.0145783212","24999.2091315","0.41517186498054","Boian et al. 2020","2020arXiv200107651B",""," Ioana Boian","2020-05-27 23:43:50"
"14764","","Computed-IIn","0","0","Computed-IIn","","57077","2019-07-01 00:00:00.00","2458665.5","","Peak-light","Other","Other","Computed","","Groh_Boian","Y","Groh_Boian","","L2.5e10_Mdot3e-3_Vinf150_R32e13_he.dat","","Synthetic","High","","Air","Angstrom","1","erg cm(-2) sec(-1) Ang(-1)","","","","","","","","","","10.01457832125","24998.357582536","0.4151715126639","Boian et al. 2020","2020arXiv200107651B",""," Ioana Boian","2020-05-27 23:43:50"
"14764","","Computed-IIn","0","0","Computed-IIn","","57078","2019-07-01 00:00:00.00","2458665.5","","Peak-light","Other","Other","Computed","","Groh_Boian","Y","Groh_Boian","","L2.5e10_Mdot3e-3_Vinf150_R32e13_sol.dat","","Synthetic","High","","Air","Angstrom","1","erg cm(-2) sec(-1) Ang(-1)","","","","","","","","","","10.0145783212","24998.5467528","0.41537479303976","Boian et al. 2020","2020arXiv200107651B",""," Ioana Boian","2020-05-27 23:43:50"
