 Flux (Janskies) at 10 Mpc and normalised flux for a model with the following parameters: 			
 Luminosity: 3.1e9 Lsun
 Mass-loss rate: 1.0e-3 Msun/yr
 Wind terminal velocity: 150.0 km/s
 Effective temperature (at optical depth 10): 28.2e3 K 
 Effective temperature (at optical depth 2/3): 26.9e3 K 
 Inner boundary: 16.0e13 cm 
 Abundances (mass fractions): H=7.010E-01,He=2.800E-01,C=3.026E-03,N=1.182E-03,O=9.634E-03,Fe=1.360E-03 
 	 Wavelength 	 Flux 	 	 Normalised Flux 
 	 (Angstrom) 	 (Jy (at 10 Mpc)) 	 
	10.6414375252	1.046e-107	1.0
	10.6485397831	1.046e-107	1.0
	10.6556466989	1.046e-107	1.0
	10.6627583668	1.046e-107	1.0
	10.6698746921	1.046e-107	1.0
	10.6769958644	1.046e-107	1.0
	10.684121789	1.046e-107	1.0
	10.6912525611	1.046e-107	1.0
	10.6983877993	1.046e-107	1.0
	10.705528076	1.046e-107	1.0
	10.7126729136	1.046e-107	1.0
	10.719822599	1.046e-107	1.0
	10.7269771323	1.046e-107	1.0
	10.7341364178	1.046e-107	1.0
	10.7413004554	1.046e-107	1.0
	10.7484692448	1.046e-107	1.0
	10.7556427863	1.046e-107	1.0
	10.7628212726	1.046e-107	1.0
	10.7700043176	1.046e-107	1.0
	10.7771924044	1.046e-107	1.0
	10.7843851464	1.046e-107	1.0
	10.7915828341	1.046e-107	1.0
	10.7987850791	1.046e-107	1.0
	10.8059922702	1.046e-107	1.0
	10.8132043101	1.046e-107	1.0
	10.8204210038	1.046e-107	1.0
	10.8276426439	1.046e-107	1.0
	10.8348690353	1.046e-107	1.0
	10.8421003736	1.046e-107	1.0
	10.8493364631	1.046e-107	1.0
	10.8565774999	1.046e-107	1.0
	10.8638230909	1.046e-107	1.0
	10.8710737278	1.046e-107	1.0
	10.8783291152	1.046e-107	1.0
	10.8855893517	1.046e-107	1.0
	10.8928545363	1.046e-107	1.0
	10.9001244711	1.046e-107	1.0
	10.9073993543	1.046e-107	1.0
	10.9146790867	1.046e-107	1.0
	10.9219634695	1.046e-107	1.0
	10.9292528007	1.046e-107	1.0
	10.9365471802	1.046e-107	1.0
	10.9438462094	1.046e-107	1.0
	10.9511501874	1.046e-107	1.0
	10.9584591146	1.046e-107	1.0
	10.9657729911	1.046e-107	1.0
	10.9730914156	1.046e-107	1.0
	10.98041499	1.046e-107	1.0
	10.9877435141	1.046e-107	1.0
	10.9950767865	1.046e-107	1.0
	11.0024149075	1.046e-107	1.0
	11.0097578768	1.046e-107	1.0
	11.0171059982	1.046e-107	1.0
	11.0244587656	1.046e-107	1.0
	11.0318166857	1.046e-107	1.0
	11.0391792511	1.046e-107	1.0
	11.0465468677	1.046e-107	1.0
	11.0539195364	1.046e-107	1.0
	11.0612970534	1.046e-107	1.0
	11.0686794184	1.046e-107	1.0
	11.0760667336	1.046e-107	1.0
	11.0834588964	1.046e-107	1.0
	11.0908561118	1.046e-107	1.0
	11.098258072	1.046e-107	1.0
	11.1056651878	1.046e-107	1.0
	11.1130771508	1.046e-107	1.0
	11.1204941672	1.046e-107	1.0
	11.1279160306	1.046e-107	1.0
	11.1353428441	1.046e-107	1.0
	11.1427746078	1.046e-107	1.0
	11.1502114252	1.046e-107	1.0
	11.1576530891	1.046e-107	1.0
	11.1650998068	1.046e-107	1.0
	11.1725514748	1.046e-107	1.0
	11.1800080927	1.046e-107	1.0
	11.1874696607	1.046e-107	1.0
	11.194936283	1.046e-107	1.0
	11.2024079601	1.046e-107	1.0
	11.2098844824	1.046e-107	1.0
	11.2173659544	1.046e-107	1.0
	11.2248525861	1.046e-107	1.0
	11.2323441678	1.046e-107	1.0
	11.2398405939	1.046e-107	1.0
	11.2473420747	1.046e-107	1.0
	11.2548486104	1.046e-107	1.0
	11.2623604129	1.046e-107	1.0
	11.2698768475	1.046e-107	1.0
	11.277398443	1.046e-107	1.0
	11.2849249877	1.046e-107	1.0
	11.2924566939	1.046e-107	1.0
	11.2999933492	1.046e-107	1.0
	11.30753506	1.046e-107	1.0
	11.3150817194	1.046e-107	1.0
	11.322633541	1.046e-107	1.0
	11.3301904183	1.046e-107	1.0
	11.3377522441	1.046e-107	1.0
	11.345319018	1.046e-107	1.0
	11.3528909547	1.046e-107	1.0
	11.3604680545	1.046e-107	1.0
	11.3680501022	1.046e-107	1.0
	11.3756370976	1.046e-107	1.0
	11.3832293643	1.046e-107	1.0
	11.3908265784	1.046e-107	1.0
	11.3984289563	1.046e-107	1.0
	11.4060361728	1.046e-107	1.0
	11.4136487701	1.046e-107	1.0
	11.4212663144	1.046e-107	1.0
