 Flux (Janskies) at 10 Mpc and normalised flux for a model with the following parameters: 			
 Luminosity: 1.9e8 Lsun
 Mass-loss rate: 3.0e-3 Msun/yr
 Wind terminal velocity: 150.0 km/s
 Effective temperature (at optical depth 10): 14.0e3 K 
 Effective temperature (at optical depth 2/3): 8.2e3 K 
 Inner boundary: 16.0e13 cm 
 Abundances (mass fractions): H=7.064E-01,He=2.800E-01,C=5.583E-05,N=8.172E-03,O=1.319E-04,Fe=1.360E-03 
 	 Wavelength 	 Flux 	 	 Normalised Flux 
 	 (Angstrom) 	 (Jy (at 10 Mpc)) 	 
	12.2177629351	1.0221e-107	1.0
	12.2259170174	1.0221e-107	1.0
	12.2340767488	1.0221e-107	1.0
	12.2422417551	1.0221e-107	1.0
	12.2504124112	1.0221e-107	1.0
	12.2585883418	1.0221e-107	1.0
	12.2667699228	1.0221e-107	1.0
	12.2749567779	1.0221e-107	1.0
	12.283149158	1.0221e-107	1.0
	12.2913470633	1.0221e-107	1.0
	12.2995502419	1.0221e-107	1.0
	12.3077589453	1.0221e-107	1.0
	12.315973427	1.0221e-107	1.0
	12.3241930547	1.0221e-107	1.0
	12.3324183345	1.0221e-107	1.0
	12.3406491399	1.0221e-107	1.0
	12.3488852169	1.0221e-107	1.0
	12.3571270738	1.0221e-107	1.0
	12.3653743292	1.0221e-107	1.0
	12.3736269828	1.0221e-107	1.0
	12.3818852897	1.0221e-107	1.0
	12.3901491227	1.0221e-107	1.0
	12.3984182252	1.0221e-107	1.0
	12.4066929815	1.0221e-107	1.0
	12.4149735205	1.0221e-107	1.0
	12.4232591999	1.0221e-107	1.0
	12.4315505335	1.0221e-107	1.0
	12.4398473928	1.0221e-107	1.0
	12.4481497777	1.0221e-107	1.0
	12.4564578176	1.0221e-107	1.0
	12.4647713834	1.0221e-107	1.0
	12.473090475	1.0221e-107	1.0
	12.4814152221	1.0221e-107	1.0
	12.489745235	1.0221e-107	1.0
	12.4980810336	1.0221e-107	1.0
	12.5064222274	1.0221e-107	1.0
