"Obj. ID","IAU name","Internal name/s","Obj. RA","Obj. DEC","Obj. Type","Redshift","Spec. ID","Obs-date","JD","From","Telescope","Instrument","Observer/s","Reducer/s","Source group","Public","Associated groups","End prop. period","Ascii file","Fits file","Spec. type","Spec. quality","Extinction-Corrected","WL Medium","WL Units","Flux Unit Coefficient","Spec. units","Flux Calibrated By","Exp-time","Aperture (slit)","HA","Airmass","Dichroic","Grism","Grating","Blaze","Lambda-min","Lambda-max","Del-Lambda","Contrib","Publish","Remarks","Created by","Creation date"
"4599","2016X","","193.81504","0.09982","SN IIP","0.0044","51845","2016-02-05 05:45:36.00","2457423.74","","Ekar","AFOSC","Unknown","","","Y","","","2016X_2457423.74_Ekar_AFOSC_None.dat","","Object","","","Air","Angstrom","1","erg cm(-2) sec(-1) Ang(-1)","","","","","","","","","","3149.585","9291.163","4.7535433436533","","2019ApJ...873L...3B","","Dr Subhash Bose","2019-05-11 19:43:02"
"4599","2016X","","193.81504","0.09982","SN IIP","0.0044","75170","2016-02-06 08:08:32.00","2457424.8392593","","ESO-NTT","EFOSC2-NTT","Elias-Rosa,Terreran,Cikota","Cappellaro","PESSTO_SSDR1-4","Y","PESSTO_SSDR1-4","","SN2016X_2016-02-06_08-08-32_ESO-NTT_EFOSC2-NTT_PESSTO_SSDR1-4.csv","SN2016X_2016-02-06_08-08-32_ESO-NTT_EFOSC2-NTT_PESSTO_SSDR1-4.fits","Object","","","Air","Angstrom","1","erg cm(-2) sec(-1) Ang(-1)","","900","","","","","","","","3341.461","7462.1704","4.0758747774481","","","Released as part of DR3","WIS_Bot1","2023-05-04 14:04:01"
"4599","2016X","","193.81504","0.09982","SN IIP","0.0044","75169","2016-02-06 08:24:22.00","2457424.8502546","","ESO-NTT","EFOSC2-NTT","Elias-Rosa,Terreran,Cikota","Cappellaro","PESSTO_SSDR1-4","Y","PESSTO_SSDR1-4","","SN2016X_2016-02-06_08-24-22_ESO-NTT_EFOSC2-NTT_PESSTO_SSDR1-4.csv","SN2016X_2016-02-06_08-24-22_ESO-NTT_EFOSC2-NTT_PESSTO_SSDR1-4.fits","Object","","","Air","Angstrom","1","erg cm(-2) sec(-1) Ang(-1)","","900","","","","","","","","5986.954","9984.115","4.2075378947368","","","Released as part of DR3","WIS_Bot1","2023-05-04 14:04:01"
"4599","2016X","","193.81504","0.09982","SN IIP","0.0044","51846","2016-02-11 04:04:48.00","2457429.67","","NOT","ALFOSC","Unknown","","","Y","","","2016X_2457429.67_NOT_ALFOSC_None.dat","","Object","","","Air","Angstrom","1","erg cm(-2) sec(-1) Ang(-1)","","","","","","","","","","3149.899","9296.723","4.7576037151703","","2019ApJ...873L...3B","","Dr Subhash Bose","2019-05-11 19:43:02"
"4599","2016X","","193.81504","0.09982","SN IIP","0.0044","75168","2016-02-13 08:49:08.00","2457431.8674537","","ESO-NTT","EFOSC2-NTT","Terreran","Taubenberger","PESSTO_SSDR1-4","Y","PESSTO_SSDR1-4","","SN2016X_2016-02-13_08-49-08_ESO-NTT_EFOSC2-NTT_PESSTO_SSDR1-4.csv","SN2016X_2016-02-13_08-49-08_ESO-NTT_EFOSC2-NTT_PESSTO_SSDR1-4.fits","Object","","","Air","Angstrom","1","erg cm(-2) sec(-1) Ang(-1)","","600","","","","","","","","3341.1106","7461.9453","4.0759987141444","","","Released as part of DR3","WIS_Bot1","2023-05-04 14:04:01"
"4599","2016X","","193.81504","0.09982","SN IIP","0.0044","75167","2016-02-13 09:00:01.00","2457431.8750116","","ESO-NTT","EFOSC2-NTT","Terreran","Taubenberger","PESSTO_SSDR1-4","Y","PESSTO_SSDR1-4","","SN2016X_2016-02-13_09-00-01_ESO-NTT_EFOSC2-NTT_PESSTO_SSDR1-4.csv","SN2016X_2016-02-13_09-00-01_ESO-NTT_EFOSC2-NTT_PESSTO_SSDR1-4.fits","Object","","","Air","Angstrom","1","erg cm(-2) sec(-1) Ang(-1)","","600","","","","","","","","5987.344","9984.635","4.2076747368421","","","Released as part of DR3","WIS_Bot1","2023-05-04 14:04:01"
"4599","2016X","","193.81504","0.09982","SN IIP","0.0044","51847","2016-02-17 04:50:52.00","2457435.702","","NOT","ALFOSC","Unknown","","","Y","","","2016X_2457435.702_NOT_ALFOSC_None.dat","","Object","","","Air","Angstrom","1","erg cm(-2) sec(-1) Ang(-1)","","","","","","","","","","3212.5","9073.48","3.0195672333849","","2019ApJ...873L...3B","","Dr Subhash Bose","2019-05-11 19:43:02"
"4599","2016X","","193.81504","0.09982","SN IIP","0.0044","75166","2016-02-24 05:36:05.00","2457442.7333912","","ESO-NTT","Sofi","PESSTO members","","PESSTO_SSDR1-4","Y","PESSTO_SSDR1-4","","SN2016X_2016-02-24_05-36-05_ESO-NTT_Sofi_PESSTO_SSDR1-4.csv","SN2016X_2016-02-24_05-36-05_ESO-NTT_Sofi_PESSTO_SSDR1-4.fits","Object","","","Air","Angstrom","1","erg cm(-2) sec(-1) Ang(-1)","","960","","","","","","","","9374.456","16472.102","6.931294921875","","","Released as part of DR3","WIS_Bot1","2023-05-04 14:04:01"
"4599","2016X","","193.81504","0.09982","SN IIP","0.0044","75165","2016-02-24 06:08:29.00","2457442.7558912","","ESO-NTT","Sofi","PESSTO members","","PESSTO_SSDR1-4","Y","PESSTO_SSDR1-4","","SN2016X_2016-02-24_06-08-29_ESO-NTT_Sofi_PESSTO_SSDR1-4.csv","SN2016X_2016-02-24_06-08-29_ESO-NTT_Sofi_PESSTO_SSDR1-4.fits","Object","","","Air","Angstrom","1","erg cm(-2) sec(-1) Ang(-1)","","1500","","","","","","","","15004.91","25396.338","10.14787890625","","","Released as part of DR3","WIS_Bot1","2023-05-04 14:04:01"
"4599","2016X","","193.81504","0.09982","SN IIP","0.0044","51848","2016-03-17 04:55:12.00","2457464.705","","LCO-duPont","BC-duPont","Unknown","","","Y","","","2016X_2016-03-17_04-55-12.00_LCO-duPont_BC-duPont_None_0.dat","","Object","Low","","Air","Angstrom","1","erg cm(-2) sec(-1) Ang(-1)","","","","","","","","","","3226.491","9519.263","3.1781676767677","","2019ApJ...873L...3B","","Dr Subhash Bose","2019-05-11 19:43:02"
