# TELESCOPE = UH88
# INSTRUMENT = SNIFS
# OBJECT = 21ulv
# CHANNEL = B+R
# EXPNUM = 21_214_009
# MJD-OBS = 59428.270110
# DATE-OBS = 2021-08-02T06:29:55
# EXPTIME = 2700.0s
# AIRMASS = 1.22
# RA = 14:15:42.24
# DEC = 26:37:45.04
# wl fl err
# [A] [erg/s/cm2/A]
3810.860000 5.602469e-16 2.022521e-17
3813.860000 5.597359e-16 1.824744e-17
3816.860000 5.912534e-16 1.944127e-17
3819.860000 5.863945e-16 2.080599e-17
3822.860000 5.627191e-16 1.940645e-17
3825.860000 6.046269e-16 1.809313e-17
3828.860000 5.969389e-16 1.956583e-17
3831.860000 5.901643e-16 2.059121e-17
3834.860000 6.091231e-16 1.921791e-17
3837.860000 5.950341e-16 1.823747e-17
3840.860000 5.963941e-16 2.033339e-17
3843.860000 5.979295e-16 2.108735e-17
3846.860000 6.580454e-16 1.934877e-17
3849.860000 6.314770e-16 1.854605e-17
3852.860000 6.212963e-16 2.064327e-17
3855.860000 5.944517e-16 2.069053e-17
3858.860000 5.848104e-16 1.818012e-17
3861.860000 5.730097e-16 1.804428e-17
3864.860000 5.741514e-16 2.034641e-17
3867.860000 5.509305e-16 1.996472e-17
3870.860000 5.891252e-16 1.788985e-17
3873.860000 6.208441e-16 1.840194e-17
3876.860000 6.235330e-16 2.028726e-17
3879.860000 5.971265e-16 1.957621e-17
3882.860000 5.733673e-16 1.746256e-17
3885.860000 5.806984e-16 1.826727e-17
3888.860000 5.767137e-16 1.964307e-17
3891.860000 5.659390e-16 1.855785e-17
3894.860000 5.390597e-16 1.679798e-17
3897.860000 5.260710e-16 1.801242e-17
3900.860000 5.236959e-16 1.912983e-17
3903.860000 4.989109e-16 1.738949e-17
3906.860000 5.041677e-16 1.643959e-17
3909.860000 5.352889e-16 1.828155e-17
3912.860000 5.519506e-16 1.890755e-17
3915.860000 5.391241e-16 1.716845e-17
3918.860000 5.277312e-16 1.661030e-17
3921.860000 5.589157e-16 1.876531e-17
3924.860000 5.352187e-16 1.914134e-17
3927.860000 5.057349e-16 1.675270e-17
3930.860000 5.337262e-16 1.682468e-17
3933.860000 5.444867e-16 1.905508e-17
3936.860000 5.317725e-16 1.889919e-17
3939.860000 5.073823e-16 1.649371e-17
3942.860000 5.223763e-16 1.703303e-17
3945.860000 5.181683e-16 1.891191e-17
3948.860000 5.066594e-16 1.792526e-17
3951.860000 5.175077e-16 1.613902e-17
3954.860000 5.184858e-16 1.710655e-17
3957.860000 5.229847e-16 1.850169e-17
3960.860000 5.303687e-16 1.762669e-17
3963.860000 5.090695e-16 1.595432e-17
3966.860000 5.114850e-16 1.721677e-17
3969.860000 5.105090e-16 1.824216e-17
3972.860000 4.882654e-16 1.682693e-17
3975.860000 5.135030e-16 1.623186e-17
3978.860000 5.468628e-16 1.824935e-17
3981.860000 5.526617e-16 1.915689e-17
3984.860000 5.553339e-16 1.766621e-17
3987.860000 5.449887e-16 1.695597e-17
3990.860000 5.458702e-16 1.906308e-17
3993.860000 5.619471e-16 1.950145e-17
3996.860000 5.384426e-16 1.719859e-17
3999.860000 5.356800e-16 1.668141e-17
4002.860000 5.297849e-16 1.878034e-17
4005.860000 5.303594e-16 1.858706e-17
4008.860000 4.975252e-16 1.606656e-17
4011.860000 4.737573e-16 1.585005e-17
4014.860000 4.728082e-16 1.726300e-17
4017.860000 4.348768e-16 1.654513e-17
4020.860000 4.223627e-16 1.457766e-17
4023.860000 4.054240e-16 1.493309e-17
4026.860000 4.007863e-16 1.610160e-17
4029.860000 4.050598e-16 1.539894e-17
4032.860000 4.009126e-16 1.387341e-17
4035.860000 4.106841e-16 1.481388e-17
4038.860000 4.455780e-16 1.628715e-17
4041.860000 4.418257e-16 1.525769e-17
4044.860000 4.715584e-16 1.446997e-17
4047.860000 4.713518e-16 1.577430e-17
4050.860000 4.676159e-16 1.646013e-17
4053.860000 4.829217e-16 1.508615e-17
4056.860000 4.735453e-16 1.422642e-17
4059.860000 4.616359e-16 1.577561e-17
4062.860000 4.570606e-16 1.619083e-17
4065.860000 4.875931e-16 1.476658e-17
4068.860000 5.028995e-16 1.461374e-17
4071.860000 5.165089e-16 1.686460e-17
4074.860000 4.962677e-16 1.687746e-17
4077.860000 4.818789e-16 1.474538e-17
4080.860000 4.907220e-16 1.503721e-17
4083.860000 5.072831e-16 1.725574e-17
4086.860000 5.152124e-16 1.709403e-17
4089.860000 5.153925e-16 1.515905e-17
4092.860000 5.299978e-16 1.584219e-17
4095.860000 5.169898e-16 1.722336e-17
4098.860000 4.848037e-16 1.620055e-17
4101.860000 4.981227e-16 1.481732e-17
4104.860000 5.049344e-16 1.581059e-17
4107.860000 5.104140e-16 1.692416e-17
4110.860000 4.742797e-16 1.559908e-17
4113.860000 4.503296e-16 1.436597e-17
4116.860000 4.416318e-16 1.543982e-17
4119.860000 4.385060e-16 1.588056e-17
4122.860000 4.264644e-16 1.435560e-17
4125.860000 4.309040e-16 1.373740e-17
4128.860000 4.236705e-16 1.513645e-17
4131.860000 4.072597e-16 1.533355e-17
4134.860000 4.307322e-16 1.391913e-17
4137.860000 4.210792e-16 1.343947e-17
4140.860000 4.281543e-16 1.532571e-17
4143.860000 4.354007e-16 1.539893e-17
4146.860000 4.475186e-16 1.355084e-17
4149.860000 4.613768e-16 1.376051e-17
4152.860000 4.586853e-16 1.548371e-17
4155.860000 4.400796e-16 1.510867e-17
4158.860000 4.540637e-16 1.338089e-17
4161.860000 4.518978e-16 1.369390e-17
4164.860000 4.698436e-16 1.531519e-17
4167.860000 4.406401e-16 1.460805e-17
4170.860000 4.103470e-16 1.302714e-17
4173.860000 4.593014e-16 1.412124e-17
4176.860000 4.582466e-16 1.521636e-17
4179.860000 4.311566e-16 1.427136e-17
4182.860000 4.471086e-16 1.328980e-17
4185.860000 4.681403e-16 1.463407e-17
4188.860000 4.645607e-16 1.506386e-17
4191.860000 4.656650e-16 1.389257e-17
4194.860000 4.729992e-16 1.331088e-17
4197.860000 4.756583e-16 1.475379e-17
4200.860000 4.587863e-16 1.498441e-17
4203.860000 4.456120e-16 1.340777e-17
4206.860000 4.428222e-16 1.300459e-17
4209.860000 4.344151e-16 1.464874e-17
4212.860000 4.222376e-16 1.482517e-17
4215.860000 4.655681e-16 1.330905e-17
4218.860000 4.708436e-16 1.330132e-17
4221.860000 4.410836e-16 1.482208e-17
4224.860000 4.555582e-16 1.475810e-17
4227.860000 4.536113e-16 1.293854e-17
4230.860000 4.443666e-16 1.321013e-17
4233.860000 4.339608e-16 1.445208e-17
4236.860000 4.500743e-16 1.416507e-17
4239.860000 4.402676e-16 1.273908e-17
4242.860000 4.368992e-16 1.342379e-17
4245.860000 4.147282e-16 1.421673e-17
4248.860000 4.247199e-16 1.357947e-17
4251.860000 4.240530e-16 1.253667e-17
4254.860000 4.114418e-16 1.334499e-17
4257.860000 4.119001e-16 1.408591e-17
4260.860000 4.032714e-16 1.305264e-17
4263.860000 4.101987e-16 1.229196e-17
4266.860000 4.098701e-16 1.360113e-17
4269.860000 4.173845e-16 1.418352e-17
4272.860000 4.190448e-16 1.280537e-17
4275.860000 4.193173e-16 1.239905e-17
4278.860000 4.093754e-16 1.399946e-17
4281.860000 4.196446e-16 1.415208e-17
4284.860000 4.000149e-16 1.239195e-17
4287.860000 3.930191e-16 1.230395e-17
4290.860000 4.021271e-16 1.398128e-17
4293.860000 4.006921e-16 1.379394e-17
4296.860000 3.992950e-16 1.212011e-17
4299.860000 3.990536e-16 1.238623e-17
4302.860000 3.938147e-16 1.371960e-17
4305.860000 3.804573e-16 1.319986e-17
4308.860000 3.989892e-16 1.195486e-17
4311.860000 4.016335e-16 1.252397e-17
4314.860000 3.886008e-16 1.353115e-17
4317.860000 3.921752e-16 1.295002e-17
4320.860000 3.805247e-16 1.186913e-17
4323.860000 4.107283e-16 1.292986e-17
4326.860000 4.166441e-16 1.370244e-17
4329.860000 3.931124e-16 1.257470e-17
4332.860000 3.854737e-16 1.190627e-17
4335.860000 3.886089e-16 1.312746e-17
4338.860000 3.716488e-16 1.350070e-17
4341.860000 3.734323e-16 1.231670e-17
4344.860000 3.648924e-16 1.187756e-17
4347.860000 3.886655e-16 1.336046e-17
4350.860000 3.835280e-16 1.358706e-17
4353.860000 3.823031e-16 1.215251e-17
4356.860000 3.900992e-16 1.205729e-17
4359.860000 4.115777e-16 1.373114e-17
4362.860000 4.005127e-16 1.363905e-17
4365.860000 3.905305e-16 1.182567e-17
4368.860000 3.954139e-16 1.208794e-17
4371.860000 3.854560e-16 1.358731e-17
4374.860000 3.766398e-16 1.321694e-17
4377.860000 3.749057e-16 1.174746e-17
4380.860000 3.882009e-16 1.235359e-17
4383.860000 3.784129e-16 1.333617e-17
4386.860000 3.886593e-16 1.278280e-17
4389.860000 3.766492e-16 1.159006e-17
4392.860000 3.665440e-16 1.237236e-17
4395.860000 3.560372e-16 1.298980e-17
4398.860000 3.752639e-16 1.232882e-17
4401.860000 3.860697e-16 1.162724e-17
4404.860000 3.798997e-16 1.268084e-17
4407.860000 3.624774e-16 1.308472e-17
4410.860000 3.830112e-16 1.207684e-17
4413.860000 3.845521e-16 1.153524e-17
