# INSTRUMENT_ID: 71
# OBS_GROUP_ID: 65
# UNIT_ID: None
# RA: 213.9260333333333
# DEC: 26.629177777777777
# OBS_DATE: 2010-08-22 00:00:00+00:00
# REDSHIFT: None
# REDSHIFT_ERR: None
# REDSHIFT_QUALITY: None
# SPEC_PLOT_FILE: None
# SPEC_DATA_FILE: None
# SPECTRUM_NOTES: None
# REFERENCE: None
# TRANSIENT_ID: 88212
# FOLLOWUP_ID: None
# SPEC_PHASE: None
# RLAP: None
# SNID_PLOT_FILE: None

wavelength,flux,fluxerr
4246.584,1.93433e-15,-9.90000e+01
4249.967,1.86002e-15,-9.90000e+01
4253.351,1.82328e-15,-9.90000e+01
4256.734,1.98928e-15,-9.90000e+01
4260.117,1.81760e-15,-9.90000e+01
4263.500,1.82618e-15,-9.90000e+01
4266.884,1.89132e-15,-9.90000e+01
4270.267,1.62640e-15,-9.90000e+01
4273.650,1.85751e-15,-9.90000e+01
4277.033,1.89765e-15,-9.90000e+01
4280.416,1.97538e-15,-9.90000e+01
4283.800,1.91681e-15,-9.90000e+01
4287.183,1.77104e-15,-9.90000e+01
4290.566,1.96011e-15,-9.90000e+01
4293.949,2.10595e-15,-9.90000e+01
4297.332,1.78444e-15,-9.90000e+01
4300.716,1.68355e-15,-9.90000e+01
4304.099,1.80095e-15,-9.90000e+01
4307.482,1.70879e-15,-9.90000e+01
4310.865,1.67672e-15,-9.90000e+01
4314.249,1.50473e-15,-9.90000e+01
4317.632,1.46888e-15,-9.90000e+01
4321.015,1.57341e-15,-9.90000e+01
4324.398,1.61220e-15,-9.90000e+01
4327.781,1.61220e-15,-9.90000e+01
4331.165,1.32364e-15,-9.90000e+01
4334.548,1.49237e-15,-9.90000e+01
4337.931,1.85149e-15,-9.90000e+01
4341.314,1.77083e-15,-9.90000e+01
4344.697,1.72293e-15,-9.90000e+01
4348.081,1.77963e-15,-9.90000e+01
4351.464,1.55541e-15,-9.90000e+01
4354.847,1.63035e-15,-9.90000e+01
4358.230,1.84466e-15,-9.90000e+01
4361.614,1.71953e-15,-9.90000e+01
4364.997,1.64400e-15,-9.90000e+01
4368.380,1.93086e-15,-9.90000e+01
4371.763,1.87446e-15,-9.90000e+01
4375.146,1.60244e-15,-9.90000e+01
4378.530,1.88156e-15,-9.90000e+01
4381.913,1.95377e-15,-9.90000e+01
4385.296,1.53889e-15,-9.90000e+01
4388.679,1.38756e-15,-9.90000e+01
4392.062,1.85622e-15,-9.90000e+01
4395.446,1.69261e-15,-9.90000e+01
4398.829,1.47948e-15,-9.90000e+01
4402.212,1.85750e-15,-9.90000e+01
4405.595,1.80815e-15,-9.90000e+01
4408.979,1.71974e-15,-9.90000e+01
4412.362,1.79267e-15,-9.90000e+01
4415.745,1.59336e-15,-9.90000e+01
4419.128,1.54796e-15,-9.90000e+01
4422.511,1.90880e-15,-9.90000e+01
