# REDSHIFT_QUALITY: None
# UNIT_ID: None
# REDSHIFT_ERR: None
# TRANSIENT_ID: 58684
# SNID_PLOT_FILE: None
# RLAP: None
# SPEC_PLOT_FILE: None
# DATA_QUALITY_ID: None
# DEC: 42.7773888888889
# OBS_DATE: 2020-12-11 15:32:02+00:00
# SPEC_PHASE: None
# OBS_GROUP_ID: 55
# REDSHIFT: None
# INSTRUMENT_ID: 7
# FOLLOWUP_ID: None
# RA: 220.0415
# SPEC_DATA_FILE: None
# SPECTRUM_NOTES: None

#wavelength flux fluxerr
3324.385 6.10352e-02 1.96704e-02
3325.569 9.03721e-02 2.36684e-02
3326.753 2.32931e-02 2.46212e-02
3327.937 5.31733e-02 2.54371e-02
3329.121 9.26268e-02 2.50900e-02
3330.305 9.42093e-02 2.20802e-02
3331.489 -3.85704e-02 2.04539e-02
3332.673 7.46353e-03 1.72003e-02
3333.857 -3.89096e-03 2.02911e-02
3335.041 2.03127e-03 2.15267e-02
3336.225 -4.81633e-02 2.20329e-02
3337.409 3.88064e-02 2.35072e-02
3338.593 5.64525e-02 2.02393e-02
3339.777 3.39765e-02 2.08607e-02
3340.961 2.19342e-02 1.91621e-02
3342.145 5.22461e-02 2.36154e-02
3343.329 1.68472e-01 2.36061e-02
3344.513 4.96389e-02 2.29752e-02
3345.697 1.00458e-01 1.95801e-02
3346.881 9.25606e-04 1.99162e-02
3348.065 3.10141e-02 2.02761e-02
3349.248 7.21363e-02 2.07192e-02
3350.432 3.48897e-02 1.52360e-02
3351.616 -7.25790e-03 1.76178e-02
3352.800 2.91181e-02 1.70993e-02
3353.984 3.85626e-02 1.77761e-02
3355.168 2.99560e-02 1.97207e-02
3356.352 3.56114e-02 1.90260e-02
3357.536 5.29159e-02 1.77478e-02
3358.720 6.80550e-02 1.84885e-02
3359.904 1.33051e-02 1.61321e-02
3361.088 1.38217e-01 1.91873e-02
3362.272 5.09314e-02 1.58033e-02
3363.456 7.32637e-02 1.70431e-02
3364.640 3.04085e-02 1.71489e-02
3365.824 5.42323e-02 1.62348e-02
3367.008 1.05045e-01 1.71182e-02
3368.192 1.28451e-01 1.27328e-02
3369.376 1.34424e-01 1.70024e-02
3370.560 1.35413e-01 1.69494e-02
3371.744 1.85215e-02 1.51779e-02
3372.928 2.92857e-02 1.86269e-02
3374.112 8.31935e-02 1.98636e-02
3375.295 3.23364e-02 1.84076e-02
3376.479 8.52371e-02 1.95192e-02
3377.663 1.66448e-03 1.57465e-02
3378.847 3.03700e-02 1.66515e-02
3380.031 7.89604e-02 1.88537e-02
3381.215 -1.14421e-02 1.74370e-02
3382.399 4.23688e-02 1.73571e-02
3383.583 1.02824e-01 1.76407e-02
3384.767 1.82770e-02 1.49665e-02
3385.951 4.32675e-02 1.45125e-02
3387.135 8.39041e-02 1.53703e-02
3388.319 8.00956e-02 1.38147e-02
3389.503 1.32563e-01 1.55947e-02
3390.687 1.05895e-01 1.66821e-02
3391.871 9.89674e-02 1.42977e-02
3393.055 1.11955e-01 1.63077e-02
3394.239 1.02835e-01 1.45476e-02
3395.423 8.01881e-02 1.67709e-02
3396.607 1.19773e-01 1.59382e-02
3397.791 3.95358e-02 1.51769e-02
3398.975 7.38881e-02 1.69496e-02
3400.158 2.95363e-02 1.54307e-02
3401.342 1.27465e-01 1.63667e-02
3402.526 1.26487e-01 1.75584e-02
3403.710 1.30909e-01 1.62660e-02
3404.894 7.28764e-02 1.55301e-02
3406.078 9.03172e-02 1.25934e-02
3407.262 9.82881e-02 1.11860e-02
3408.446 8.88122e-02 1.18543e-02
3409.630 5.61609e-02 1.31065e-02
3410.814 1.21928e-01 1.55561e-02
3411.998 1.37688e-01 1.34005e-02
3413.182 8.60913e-02 1.15155e-02
3414.366 1.30203e-01 1.52715e-02
3415.550 1.27244e-01 1.71803e-02
3416.734 1.15205e-01 1.63421e-02
3417.918 1.34737e-01 1.32308e-02
3419.102 1.26739e-01 1.30630e-02
3420.286 1.05051e-01 1.24495e-02
3421.470 7.65118e-02 1.36431e-02
3422.654 9.12866e-02 1.24326e-02
3423.838 8.66752e-02 1.38805e-02
3425.021 1.05225e-01 1.11702e-02
3426.205 1.03720e-01 1.37622e-02
3427.389 1.25990e-01 1.12921e-02
3428.573 1.48372e-01 1.16224e-02
3429.757 1.28758e-01 1.32116e-02
3430.941 1.34269e-01 1.47269e-02
3432.125 1.11550e-01 1.54415e-02
3433.309 1.00039e-01 1.45187e-02
3434.493 1.10704e-01 1.47683e-02
3435.677 1.18646e-01 1.50143e-02
3436.861 8.17773e-02 1.21284e-02
3438.045 7.99632e-02 1.50443e-02
3439.229 1.16244e-01 1.43709e-02
3440.413 1.06191e-01 1.46972e-02
3441.597 9.08272e-02 1.29488e-02
3442.781 9.34809e-02 1.20808e-02
3443.965 8.96738e-02 1.04473e-02
3445.149 9.48926e-02 1.28837e-02
3446.333 8.67918e-02 1.15644e-02
3447.517 9.76821e-02 1.16583e-02
3448.701 8.32670e-02 1.28688e-02
3449.884 8.49047e-02 1.25220e-02
3451.068 1.18918e-01 1.39770e-02
3452.252 7.51929e-02 1.13119e-02
3453.436 6.64213e-02 1.35459e-02
3454.620 1.41420e-01 1.50060e-02
3455.804 1.41407e-01 1.23443e-02
3456.988 4.18632e-02 1.39495e-02
3458.172 9.68265e-02 1.31432e-02
3459.356 1.01397e-01 1.42805e-02
3460.540 7.52372e-02 1.29877e-02
3461.724 9.55057e-02 1.42316e-02
3462.908 1.12308e-01 1.19567e-02
3464.092 1.57018e-01 1.30020e-02
3465.276 1.10640e-01 1.02820e-02
3466.460 8.80439e-02 1.14741e-02
3467.644 8.52612e-02 9.14462e-03
3468.828 9.68816e-02 1.08614e-02
3470.012 1.16919e-01 1.50978e-02
3471.196 5.62059e-02 1.17022e-02
3472.380 1.01247e-01 1.24177e-02
3473.564 8.54209e-02 1.22848e-02
3474.747 1.23308e-01 1.38999e-02
3475.931 7.60574e-02 1.37861e-02
3477.115 6.89554e-02 1.14702e-02
3478.299 9.84457e-02 9.94520e-03
3479.483 1.05180e-01 1.14782e-02
3480.667 1.13312e-01 1.38360e-02
3481.851 1.05762e-01 1.13442e-02
3483.035 7.33516e-02 1.10135e-02
3484.219 7.68890e-02 1.10319e-02
3485.403 9.51913e-02 1.19560e-02
3486.587 9.66957e-02 1.12763e-02
3487.771 1.25166e-01 1.19013e-02
3488.955 5.60287e-02 1.11757e-02
3490.139 3.32530e-02 1.23478e-02
3491.323 1.08072e-01 1.32024e-02
3492.507 7.57886e-02 1.16750e-02
3493.691 1.18054e-01 1.31891e-02
3494.875 1.06236e-01 1.33574e-02
3496.059 7.99896e-02 1.07954e-02
3497.243 9.76036e-02 1.17043e-02
3498.427 1.19571e-01 1.20661e-02
3499.610 1.11774e-01 1.07430e-02
3500.794 7.46780e-02 1.16451e-02
3501.978 9.85727e-02 1.05625e-02
3503.162 7.03359e-02 9.31224e-03
