#WAVE FLUX ERR BGFLUX
6405.138 2.8568484E-16 5.087679E-18 1.2084746E-16
6409.3525 2.8348065E-16 5.0667972E-18 1.2018028E-16
6413.567 2.9242108E-16 5.107768E-18 1.194047E-16
6417.781 2.7313694E-16 5.0156572E-18 1.219694E-16
6421.995 2.6672075E-16 4.966308E-18 1.2055739E-16
6426.2095 2.772095E-16 5.0227234E-18 1.2063738E-16
6430.4233 2.7607686E-16 4.9862667E-18 1.1543927E-16
6434.6377 2.72551E-16 4.9765436E-18 1.1786912E-16
6438.852 2.7641906E-16 5.0110924E-18 1.2097896E-16
6443.066 2.821551E-16 5.1061686E-18 1.1726696E-16
6447.2803 3.0146586E-16 5.116853E-18 1.171604E-16
6451.4946 3.0870637E-16 5.1973003E-18 1.26542E-16
6455.709 3.2754094E-16 5.3010262E-18 1.2934594E-16
6459.923 3.509994E-16 5.449562E-18 1.3591381E-16
6464.137 3.7105996E-16 5.5380242E-18 1.3553128E-16
6468.3516 4.0016785E-16 5.6567052E-18 1.3254976E-16
6472.5654 4.3545125E-16 5.7735776E-18 1.2391314E-16
6476.78 4.2517123E-16 5.717927E-18 1.2310772E-16
6480.994 4.544363E-16 5.815309E-18 1.1582272E-16
6485.2085 4.570651E-16 5.8734716E-18 1.2673626E-16
6489.4224 4.656702E-16 5.924881E-18 1.2911935E-16
6493.6367 4.5777223E-16 5.9374148E-18 1.4022943E-16
6497.851 4.483505E-16 5.905947E-18 1.4227154E-16
6502.065 4.1537617E-16 5.6957333E-18 1.3047817E-16
6506.2793 3.9386066E-16 5.5325355E-18 1.1758439E-16
6510.4937 3.8758407E-16 5.520702E-18 1.2284458E-16
6514.708 4.042069E-16 5.5677515E-18 1.1692934E-16
6518.922 4.0831038E-16 5.615793E-18 1.2350323E-16
6523.136 4.3513925E-16 5.778056E-18 1.3178597E-16
6527.3506 4.482343E-16 5.8379417E-18 1.3152418E-16
6531.5645 4.6552195E-16 5.916996E-18 1.3242349E-16
6535.779 4.9277216E-16 6.0235813E-18 1.2962738E-16
6539.993 5.036207E-16 6.0764436E-18 1.3182758E-16
6544.207 5.4064594E-16 6.242356E-18 1.3510342E-16
6548.4214 5.724013E-16 6.39981E-18 1.416969E-16
6552.6357 6.1260604E-16 6.5694238E-18 1.4387915E-16
6556.85 6.455034E-16 6.676872E-18 1.3874082E-16
6561.064 6.784039E-16 6.8046454E-18 1.3925554E-16
6565.2783 6.965079E-16 6.844547E-18 1.3245062E-16
6569.4927 7.3346055E-16 7.0996705E-18 1.3284331E-16
6573.7065 7.582953E-16 7.075066E-18 1.3279919E-16
6577.921 7.838516E-16 7.1789285E-18 1.3591393E-16
6582.1353 8.019637E-16 7.200896E-18 1.2399833E-16
6586.3496 8.4482717E-16 7.322934E-18 1.1529928E-16
6590.5635 8.71717E-16 7.4175395E-18 1.1604072E-16
6594.778 8.757827E-16 7.463213E-18 1.2536956E-16
6598.992 9.021954E-16 7.545047E-18 1.2266498E-16
6603.206 9.090672E-16 7.5383145E-18 1.1451514E-16
6607.4204 9.031184E-16 7.523017E-18 1.170503E-16
6611.635 9.044461E-16 7.511936E-18 1.1338985E-16
6615.849 9.311318E-16 7.607155E-18 1.1465112E-16
6620.063 9.171144E-16 7.563531E-18 1.1650116E-16
6624.2773 9.283738E-16 7.598824E-18 1.1585932E-16
6628.4917 9.938262E-16 7.953015E-18 1.2405425E-16
6632.7056 1.046264E-15 8.36982E-18 1.2689501E-16
6636.92 1.0818418E-15 8.49083E-18 1.2416667E-16
6641.1343 1.0666978E-15 8.190811E-18 1.2415008E-16
6645.348 9.513182E-16 7.673781E-18 1.19152E-16
6649.5625 9.194259E-16 7.5546356E-18 1.1653617E-16
6653.777 9.320458E-16 7.589709E-18 1.1483956E-16
6657.991 9.217514E-16 7.572741E-18 1.2061664E-16
6662.205 9.2828E-16 7.570911E-18 1.1421349E-16
6666.4194 9.072481E-16 7.478234E-18 1.0986034E-16
6670.634 8.8288436E-16 7.41646E-18 1.1628776E-16
6674.8477 8.922767E-16 7.414941E-18 1.073436E-16
6679.062 8.5908E-16 7.345792E-18 1.2173065E-16
6683.2764 8.561622E-16 7.311325E-18 1.1501217E-16
6687.4907 8.3819606E-16 7.2530505E-18 1.1774724E-16
6691.7046 8.156086E-16 7.159533E-18 1.1410454E-16
6695.919 7.9796936E-16 7.092413E-18 1.1323342E-16
6700.1333 7.624695E-16 6.964087E-18 1.1426218E-16
