#WAVE FLUX ERR BGFLUX
3637.2964 1.6777666E-16 1.3455724E-17 6.076096E-16
3642.8162 1.4809421E-16 1.3058765E-17 5.882458E-16
3648.336 1.4796153E-16 1.2817067E-17 5.7447363E-16
3653.8557 1.3095316E-16 1.2416647E-17 5.5343905E-16
3659.3755 1.3123046E-16 1.2083807E-17 5.2487847E-16
3664.8955 1.0172287E-16 1.1484173E-17 4.842728E-16
3670.4153 1.5102791E-16 1.138457E-17 4.3024125E-16
3675.935 1.1654128E-16 1.0933858E-17 4.3034806E-16
3681.4548 1.2487887E-16 1.0901135E-17 4.5559435E-16
3686.9749 1.4700745E-16 1.0907928E-17 4.6794907E-16
3692.4946 1.6501691E-16 1.0940824E-17 4.950464E-16
3698.0144 1.5690757E-16 1.0700134E-17 4.9838895E-16
3703.5342 1.4238491E-16 1.02808235E-17 4.681095E-16
3709.0542 1.1748469E-16 9.871807E-18 4.562321E-16
3714.574 1.2843633E-16 9.642566E-18 4.2702888E-16
3720.0938 1.33161E-16 9.6379495E-18 4.612282E-16
3725.6135 1.1855518E-16 9.547393E-18 4.994497E-16
3731.1335 1.4261639E-16 9.488135E-18 4.8796313E-16
3736.6533 1.3535188E-16 9.291695E-18 4.896247E-16
3742.173 1.3531771E-16 8.987852E-18 4.552497E-16
3747.6929 1.4387306E-16 8.718956E-18 4.0914198E-16
3753.213 1.7848211E-16 8.680409E-18 3.8280894E-16
3758.7327 2.491817E-16 8.899491E-18 3.6523762E-16
3764.2524 3.0925416E-16 9.093389E-18 3.6202514E-16
3769.7722 2.7626604E-16 8.808169E-18 3.7164E-16
3775.292 2.2885853E-16 8.379137E-18 3.6362293E-16
3780.812 1.4919695E-16 7.7274E-18 3.5253223E-16
3786.3318 1.1916179E-16 7.443063E-18 3.5734412E-16
3791.8516 1.3049045E-16 7.327927E-18 3.392932E-16
3797.3713 1.2609413E-16 7.166401E-18 3.333281E-16
3802.8914 1.3771158E-16 7.0841104E-18 3.2083292E-16
3808.4111 1.3105838E-16 7.009022E-18 3.382981E-16
3813.931 1.4290896E-16 6.9613725E-18 3.3405595E-16
3819.4507 1.3795082E-16 6.9339354E-18 3.5974805E-16
3824.9707 1.6093642E-16 6.964052E-18 3.56133E-16
3830.4905 1.414518E-16 6.810452E-18 3.714504E-16
3836.0103 1.3676285E-16 6.5912096E-18 3.4556112E-16
3841.53 1.2416456E-16 6.3788823E-18 3.3288808E-16
3847.05 1.4031544E-16 6.304868E-18 3.1273475E-16
3852.5698 1.5884274E-16 6.2895443E-18 3.020334E-16
3858.0896 1.4967472E-16 6.1028178E-18 2.8931628E-16
3863.6094 1.5026944E-16 5.9539286E-18 2.7235325E-16
3869.1294 1.303756E-16 5.7919778E-18 2.8064991E-16
3874.6492 1.2557671E-16 5.75559E-18 2.971393E-16
3880.169 1.4101835E-16 5.7386685E-18 2.891894E-16
3885.6887 1.3485769E-16 5.7392107E-18 3.175114E-16
3891.2085 1.4778708E-16 5.771059E-18 3.2510668E-16
3896.7285 1.5715585E-16 5.872242E-18 3.5869667E-16
3902.2483 1.5674044E-16 6.0024593E-18 4.1626426E-16
3907.768 1.602475E-16 6.0127436E-18 4.3405796E-16
3913.2878 1.5537258E-16 5.771353E-18 3.8966014E-16
3918.8079 1.455206E-16 5.3695586E-18 3.063469E-16
3924.3276 1.1933537E-16 4.85976E-18 2.2544994E-16
3929.8474 1.1312489E-16 4.7001093E-18 2.0723921E-16
3935.3672 1.1566373E-16 4.689612E-18 2.1392245E-16
3940.8872 1.1985216E-16 4.7647965E-18 2.4109035E-16
3946.407 1.2638528E-16 4.8548467E-18 2.608949E-16
3951.9268 1.5403854E-16 4.8305114E-18 2.337707E-16
3957.4465 1.428485E-16 4.667808E-18 2.1939894E-16
3962.9666 1.4318483E-16 4.5347712E-18 1.9550383E-16
3968.4863 1.4918654E-16 4.485712E-18 1.8571241E-16
3974.006 1.4665806E-16 4.473935E-18 1.976384E-16
3979.526 1.3653516E-16 4.484912E-18 2.269715E-16
3985.046 1.3074636E-16 4.4550587E-18 2.39474E-16
3990.5657 1.3793237E-16 4.4208598E-18 2.2899242E-16
3996.0854 1.35666E-16 4.403072E-18 2.3744795E-16
4001.6052 1.3225484E-16 4.3479438E-18 2.3696506E-16
