   0.000000000E+00   0.500000000E+04   0.154376434E+02   0.142295544E+02   0.135038587E+02   0.132288194E+02   0.131056414E+02   0.145838034E+02   0.145558334E+02   0.137428174E+02   0.127167314E+02   0.132220314E+02   0.185697434E+02   0.239029534E+02   0.188635234E+02   0.177572134E+02   0.193438934E+02
   0.100003215E+05   0.500000000E+04               NaN               NaN               NaN               NaN               NaN               NaN               NaN               NaN               NaN               NaN               NaN               NaN               NaN               NaN               NaN
   0.200004502E+05   0.500000000E+04               NaN               NaN               NaN               NaN               NaN               NaN               NaN               NaN               NaN               NaN               NaN               NaN               NaN               NaN               NaN
   0.300102978E+05   0.500000000E+04   0.517935358E+01   0.397126458E+01   0.324556888E+01   0.297052958E+01   0.284735158E+01   0.432551358E+01   0.429754358E+01   0.348452758E+01   0.245844158E+01   0.296374158E+01   0.831145358E+01   0.136446636E+02   0.860523358E+01   0.749892358E+01   0.908560358E+01
   0.400221008E+05   0.500000000E+04  -0.271835336E+01  -0.392644236E+01  -0.465213806E+01  -0.492717736E+01  -0.505035536E+01  -0.357219336E+01  -0.360016336E+01  -0.441317936E+01  -0.543926536E+01  -0.493396536E+01   0.413746643E+00   0.574695664E+01   0.707526643E+00  -0.398783357E+00   0.118789664E+01
   0.500164695E+05   0.500000000E+04  -0.352380721E+01  -0.473189621E+01  -0.545759191E+01  -0.573263121E+01  -0.585580921E+01  -0.437764721E+01  -0.440561721E+01  -0.521863321E+01  -0.624471921E+01  -0.573941921E+01  -0.391707208E+00   0.494150279E+01  -0.979272076E-01  -0.120423721E+01   0.382442792E+00
   0.600346835E+05   0.500000000E+04  -0.352919904E+01  -0.473728804E+01  -0.546298374E+01  -0.573802304E+01  -0.586120104E+01  -0.438303904E+01  -0.441100904E+01  -0.522402504E+01  -0.625011104E+01  -0.574481104E+01  -0.397099037E+00   0.493611096E+01  -0.103319037E+00  -0.120962904E+01   0.377050963E+00
   0.700413881E+05   0.500000000E+04  -0.352877221E+01  -0.473686121E+01  -0.546255691E+01  -0.573759621E+01  -0.586077421E+01  -0.438261221E+01  -0.441058221E+01  -0.522359821E+01  -0.624968421E+01  -0.574438421E+01  -0.396672215E+00   0.493653779E+01  -0.102892215E+00  -0.120920221E+01   0.377477785E+00
   0.800188328E+05   0.500000000E+04  -0.351616469E+01  -0.472425369E+01  -0.544994939E+01  -0.572498869E+01  -0.584816669E+01  -0.437000469E+01  -0.439797469E+01  -0.521099069E+01  -0.623707669E+01  -0.573177669E+01  -0.384064688E+00   0.494914531E+01  -0.902846878E-01  -0.119659469E+01   0.390085312E+00
   0.900390239E+05   0.500000000E+04  -0.346637997E+01  -0.467446897E+01  -0.540016467E+01  -0.567520397E+01  -0.579838197E+01  -0.432021997E+01  -0.434818997E+01  -0.516120597E+01  -0.618729197E+01  -0.568199197E+01  -0.334279968E+00   0.499893003E+01  -0.404999678E-01  -0.114680997E+01   0.439870032E+00
   0.100031805E+06   0.500000000E+04  -0.335811132E+01  -0.456620032E+01  -0.529189602E+01  -0.556693532E+01  -0.569011332E+01  -0.421195132E+01  -0.423992132E+01  -0.505293732E+01  -0.607902332E+01  -0.557372332E+01  -0.226011320E+00   0.510719868E+01   0.677686797E-01  -0.103854132E+01   0.548138680E+00
   0.110023325E+06   0.500000000E+04  -0.324199834E+01  -0.445008734E+01  -0.517578304E+01  -0.545082234E+01  -0.557400034E+01  -0.409583834E+01  -0.412380834E+01  -0.493682434E+01  -0.596291034E+01  -0.545761034E+01  -0.109898341E+00   0.522331166E+01   0.183881659E+00  -0.922428341E+00   0.664251659E+00
   0.120023620E+06   0.500000000E+04  -0.314292395E+01  -0.435101295E+01  -0.507670865E+01  -0.535174795E+01  -0.547492595E+01  -0.399676395E+01  -0.402473395E+01  -0.483774995E+01  -0.586383595E+01  -0.535853595E+01  -0.108239461E-01   0.532238605E+01   0.282956054E+00  -0.823353946E+00   0.763326054E+00
   0.130020065E+06   0.500000000E+04  -0.306709409E+01  -0.427518309E+01  -0.500087879E+01  -0.527591809E+01  -0.539909609E+01  -0.392093409E+01  -0.394890409E+01  -0.476192009E+01  -0.578800609E+01  -0.528270609E+01   0.650059135E-01   0.539821591E+01   0.358785913E+00  -0.747524087E+00   0.839155913E+00
   0.140001350E+06   0.500000000E+04  -0.299990171E+01  -0.420799071E+01  -0.493368641E+01  -0.520872571E+01  -0.533190371E+01  -0.385374171E+01  -0.388171171E+01  -0.469472771E+01  -0.572081371E+01  -0.521551371E+01   0.132198286E+00   0.546540829E+01   0.425978286E+00  -0.680331714E+00   0.906348286E+00
