GROUP	MJD	STAR	CLEAR	ECLEAR
;;kait data
1	59517.550	0	17.696	 0.187
2	59518.563	0	17.690	 0.360
3	59521.559	0	17.830	 0.358
4	59526.525	0	17.933	 0.260
5	59535.470	0	18.458	 0.394
6	59541.489	0	18.547	 0.372
7	59543.482	0	18.716	 0.391
8	59566.397	0	18.701	 0.364
9	59621.286	0	19.298	 0.331
10	59622.276	0	19.254	 0.374
